Main Category,Submenu Item,Menu Level,Description,Command,Context
Help ❓,📺 Tutorials,submenu,Learn how to use MewFi with step-by-step guides! 🚀 Click below to watch!,/tutorials,private
Main Menu❓,,main,"📌 MewFi Help Menu for Groups
🐾 In groups, use /help@MewFiBot to see all commands and explore MewFi’s features! 😺
This command lists all available commands (e.g., /pricexrp, /wallets, /dexs) and triggers an inline menu below this message for clean, non-spammy interactions. 🚀 Keep your group purr-fectly organized! 🐾",/help,group
MewFi Hub 🚀,,main,"🐾 Hi! I'm MewFi! All my commands work in groups - just add @MewFiBot before them (like /help@MewFiBot)!

📌 How to use me in a group?
✅ Use commands directly in chat (e.g., /wallets@MewFiBot)
✅ Click the MewFi Hub buttons to explore features

🔹 Want a full Mewfied experience?
Try chatting with me in private messages for quick-access menus and a smoother experience! 😺🚀",/start,group
Wallets 🔐🏦,,main,"🏦 Decentralized Wallets – Trusted by the Community & Mew Verified! Your wallet is your key to the XRPL! Choose a secure, self-custodial wallet to store, send, and trade XRP & tokens. 🔐💎",/wallets,private
Wallets 🔐🏦,Xaman Wallet 🏦,submenu,"✨ Meow! Xaman Wallet is your magical gateway to XRPL! 🪄 A self-custodial wallet that lets you manage XRPL assets with ease. Keep your treasures safe, swap tokens like a pro, and enjoy smooth transactions! 🐾💎 
🔗 https://xaman.app/",/wallets_xaman,private
Wallets 🔐🏦,Bifrost Wallet 🌉,submenu,"🌈 Mew thinks Bifrost Wallet is purrfect! 🌟 A multi-currency wonder developed by Towo Labs. Not just for XRPL, but a true bridge to other blockchains! Secure, efficient, and totally pawsome! 🐾🔑 
🔗 https://bifrostwallet.com/",/wallets_bifrost,private
Wallets 🔐🏦,First Ledger Wallet 🏦,submenu,"🏦 Meow! First Ledger Wallet is your ultimate XRPL vault! Securely manage, send, and receive XRPL tokens while accessing powerful trading tools! ps this is where we launched 🐾💰 
🔗 https://firstledger.net/?ref=zxhRxHNuFMtC",/wallets_firstledger,private
Wallets 🔐🏦,Trust Wallet 🔐,submenu,"🔹 Trust Wallet is like a treasure chest for your XRP! 🏆 Meow approves of this easy-to-use, multi-chain wallet that keeps your assets safe and ready for adventure! 🚀😺 🔗 https://trustwallet.com/",/wallets_trust,private
Wallets 🔐🏦,Atomic Wallet 💥,submenu,"💥 Atomic Wallet is where security meets flexibility! Mew loves that it supports 500+ cryptos, including XRP! Manage, swap, and stake all in one purrfect place! 🐾🔥 🔗 https://atomicwallet.io/",/wallets_atomic,private
Wallets 🔐🏦,Ledger Vault 🏰,submenu,"🔐 Ledger is the ultimate hardware fortress for your XRP! Mew says: Keep your coins safe with this cold storage beast. No scams, no hacks, just purrfect security! 🏰🐾 🔗 https://www.ledger.com/",/wallets_ledger,private
Wallets 🔐🏦,Gem Wallet 💎,submenu,"💎 Mew says: Shine bright like a Gem! Gem Wallet is a purrfectly simple and ultra-secure self-custodial wallet for the XRPL! No complicated setups—just smooth, seamless, and secure transactions! 🚀🐾
✅ Super Fast Setup – No tech headaches, just plug & purr! 🛠️✨
✅ Non-Custodial & Secure – YOU hold the keys, YOU control your assets! 🔑🐾
✅ Seamless XRPL Integration – Send, receive, and manage XRP effortlessly! 💸😸
✅ Light as a Feather – A browser extension so smooth, you'll forget it’s even there! 🌬️💎
🔗 Download & Install Now: https://gemwallet.app/",/wallets_gemwallet,private
CEXs💹,,main,Trade XRP on top global exchanges!,/cexs,private
CEXs💹,Gemini 🌐,submenu,"🐾 Mew says: Trade XRP on Gemini, the purr-fect regulated U.S. exchange with deep liquidity and security! 🚀💎 🔗 Trade on Gemini: https://www.gemini.com/",/cex_gemini,private
CEXs💹,Coincheck 🇯🇵,submenu,"🏯 Japan’s XRP trading powerhouse! Buy, sell, and stake XRP seamlessly with fiat on-ramps! 🐾🐉 🔗 Trade on Coincheck: https://coincheck.com/",/cex_coincheck,private
CEXs💹,Coinbase 🏛️,submenu,"💸 U.S. traders, Mew’s got you covered! Coinbase makes buying XRP easy, plus you can stake and earn rewards! 🐾💰 🔗 Trade on Coinbase: https://www.coinbase.com/",/cex_coinbase,private
CEXs💹,Kraken ,submenu," Deep liquidity and XRP futures! Mew-approved for margin traders who want to ride the crypto waves!   Trade on Kraken: https://www.kraken.com/",/cex_kraken,private
CEXs💹,Binance 🌏,submenu,"🌍 The king of exchanges! XRP trading across 50+ fiat pairs, meow-sive liquidity, and an active global community! 🐾🔥 🔗 Trade on Binance: https://www.binance.us/ ",/cex_binance,private
CEXs💹,Bitstamp 🏆,submenu,"🏆 The OG XRP exchange! A trusted platform for institutions and long-term hodlers—safe, secure, and MewFi-approved! 🐾💎 🔗 Trade on Bitstamp: https://www.bitstamp.net/",/cex_bitstamp,private
XRPL Tools🛠️,,main,"🔍 Your Gateway to the Best XRPL Tools!
🐾 Mew says: This is where all the best XRPL tools live! Whether you're tracking token movements, checking market trends, analyzing wallet activity, or swapping assets, these tools will help you navigate the XRPL ecosystem like a pro! 😸💡

🔹 What will you find here?
✅ Market analytics – Track XRPL token trends & movements! 📊
✅ Wallet explorers – Look up transactions & token holdings! 🔍
✅ Trading tools – Swap & manage assets securely! 💱
✅ Safety scanners – Spot rug pulls & risky tokens before you invest! 🛡️

🐾 Pick a tool below to get started!",/xrpltools,private
XRPL Tools🛠️,XPMarket 📊,submenu,"📈 Mew’s favorite marketplace for XRPL assets! Track, swap, and explore the XRPL ecosystem with XPMarket! 🚀🐾 🔗 https://xpmarket.com/",/xrpltools_xpmarket,private
XRPL Tools🛠️,XRPL Labs 🔬,submenu,🔬 The mad scientists behind XRPL innovation! XRPL Labs creates powerful tools like Xaman Wallet and PayString to keep the ledger purring! 🧪😼 🔗 https://x.com/XRPLLabs,/xrpltools_xrpllabs,private
XRPL Tools🛠️,XRScan 🔍,submenu,"🔍 Curious kitty? XRScan lets you track every transaction, wallet, and token on XRPL! The ultimate explorer for blockchain sleuths! 🕵️‍♂️🐾 🔗 https://xrpscan.com/",/xrpltools_xrscan,private
XRPL Tools🛠️,BuildXRP 🛠️,submenu,"XRPL Tools, BuildXRP 🔨, 🔨 Mew says: BuildXRP is where builders and traders unite! 🏗️🐾 A cutting-edge analytics and trading hub built for the XRPL, helping users navigate the blockchain jungle like true pros! 🌍🚀

💡 What does BuildXRP offer?
✅ Real-Time Analytics – Track market trends with pawsome precision! 📈
✅ Automated Trading Bots – Let the XRP Trade Pulse Bot do the work! 🤖⚡
✅ Smart Classification Tools – Classifies tokens & wallets automatically! 🔍
✅ Revenue Sharing – Holding $BUILDX or $BXB earns you a share of the fees! 🏆
🌟 Community-Driven & Transparent – BuildXRP empowers traders, fosters fair markets, and enhances XRPL adoption through education & innovation! 😸

🔗 Explore BuildXRP: https://buildxrp.com/",/xrpltools_buildxrp,private
XRPL Tools🛠️,AntiSol 👽🛡️,submenu,"⚠️ Mew says: No rug pulls here! AntiSol sniffs out scams by analyzing token holder distribution! and much more rev share for holders !! Stay safe, stay smart! 🛡️😸 🔗 https://x.com/AntiSolXrpl",/xrpltools_antisol,private
XRPL Tools🛠️,Burn With $Merch 🔥🛍️,submenu,"🔥 Burn With Merch – The XRPL-Powered Merch Revolution! 🛍️🔥

Burn With Merch is a next-gen e-commerce platform built on XRPL, offering high-quality crypto-themed apparel and accessories. Their mission? To bridge blockchain culture with real-world fashion—all while supporting decentralized commerce!

🚀 Why Burn With Merch?
✅ XRPL-Powered Payments – Buy with XRP and other XRPL tokens! 💳
✅ Global Shipping – No matter where you are, rep your favorite projects! 🌍
✅ Community-Driven – Exclusive collections designed by & for crypto enthusiasts! 🛠️
✅ Limited Drops & Unique Designs – Fresh styles that make you stand out in Web3! 😼🔥

🐾 MeowRP x Burn With Merch 🐾
Get your paws on official MeowRP merch, available now! Show off your love for XRPL’s cutest meme coin while supporting the growth of decentralized commerce!

🔗 Shop Now: https://www.burnwithmerch.com/product-category/meowrp-merch",/burnwith_merch,private
Airdrop Info🎁,,main,"💎 Discover Free XRPL Airdrops & Rewards!
🐾 Meow loves free tokens! Airdrops are a fun way to earn free crypto rewards just by holding or interacting with certain tokens. The XRPL ecosystem is full of exciting opportunities—so let’s track them all! 🚀😸

🔹 What will you find here?
✅ Real-time airdrop updates – Never miss a free token! 📢
✅ Snapshot tracking – See which tokens offer rewards! 📸
✅ Verified airdrop sources – No scams, just legit airdrops! 🛡️
✅ Mew Approved Projects – Trust only the best airdrop programs! 🏆

🐾 Click below to explore XRPL airdrops! ",/airdrops,private
Airdrop Info🎁,XRP Airdrops 🎁,submenu,🎁 Free tokens?! Mew loves airdrops! Follow XRP_Airdrops for the latest XRPL giveaways and rewards! 🐾💰 🔗 https://x.com/XRP_Airdrops,/airdrops_xrp,private
Airdrop Info🎁,BuildXRP Hub 🏗️,submenu,"🛠️ BuildXRP is purring with innovation! Track wallet snapshots, token distributions, and all things XRPL like a true pro! 🔥😺 🔗 https://buildxrp.com/  ",/airdrops_buildxrp,private
NFTs🎨,,main,"🎭 Explore the World of XRPL NFTs!
🐾 Meow loves digital art! XRPL has a growing NFT ecosystem where artists, collectors, and traders unite! Whether you’re looking to mint, collect, or trade NFTs, this is the place to start! 🚀😺

🔹 What will you find here?
✅ NFT Marketplaces – Buy & sell digital collectibles! 🖼️
✅ XRPL NFT Minting – Create your own NFT art! 🎨
✅ Verified Collections – Discover Mew Approved NFTs! 🏆
✅ NFT Analytics – Track trading volume & rare gems! 📊",/nfts,private
NFTs🎨,XRP Cafe ☕🎨,submenu,"🎨 Mew’s favorite NFT marketplace! Mint, buy, and collect digital art on XRPL at the coziest cafe in Web3! ☕🐾 🔗 https://xrp.cafe/",/nfts_xrpcafe,private
Buy $MeowRP 😸💰,,main,"Meow! 🐾 Ready to grab some MeowRP tokens? Whether you're new to XRPL or a seasoned trader, we've got step-by-step guides and trusted exchanges to help you buy and trade safely! 🚀😺

Explore verified DEXs, fiat on-ramps, and trading platforms to get your paws on $MeowRP today!

🔗 Click below to get started!",/buy_meowrp,private
Buy $MeowRP 😸💰,1st time Buy Guide 📖😺,submenu,"🐾 MewFi's Ultimate Guide to Crypto & XRPL 🚀
Meow! 😺 Ready to dive into the world of XRPL and snag some MeowRP? This guide will walk you through everything step-by-step—no tech headaches, just easy purrs and smooth swaps! 🐾💎

🐱 Step 1: Start with a Centralized Exchange (CEX)
Before we trade like pros on the XRPL, we need XRP! 🌍
Pick a CEX (Centralized Exchange) that supports XRP:
✅ Coinbase
✅ Binance
✅ Kraken
✅ Uphold

💡 MewTip: You'll need to verify your identity and add a payment method (Debit Card, Bank Transfer, or Smart Wallet).

🐱 Step 2: Buy XRP Like a Pro
Now that you have a CEX account, time to get some XRP!

💰 Best ways to buy XRP:
💳 Debit/Credit Card – Fast but may have higher fees.
🏦 Bank Transfer – Lower fees but takes longer.
📲 Smart Wallet (Apple Pay/Google Pay) – Available on some platforms.

✅ Now, you own XRP! Time to move it to a safer decentralized wallet! 🔐

🐱 Step 3: Move Your XRP to a Decentralized Wallet
To trade on XRPL, you need a self-custody wallet where YOU own the keys! Here are Mew's top picks:

✅ Xaman Wallet (Previously Xumm)
✅ Bifrost Wallet
✅ First Ledger Wallet

🔹 Setup Steps:
1️⃣ Download & install the wallet of your choice.
2️⃣ Write down and store your Secret Key / Recovery Phrase securely! 🛡️
3️⃣ Get ready to activate your wallet with XRP!

🐱 Step 4: Activate Your XRPL Wallet (Super Important!)
Every new XRPL wallet needs at least 10 XRP to activate.

📌 How to transfer XRP from your CEX to your new XRPL wallet:
1️⃣ Copy your wallet address from Xaman, Bifrost, or First Ledger.
2️⃣ Go to Coinbase/Binance/Kraken → Withdraw XRP.
3️⃣ Paste your wallet address and enter the amount (send at least 10 XRP).
4️⃣ Double-check everything before confirming! ✅
5️⃣ Submit and wait for confirmation.

🎉 Your XRPL wallet is now active! Time to grab some MeowRP! 😺🚀

🐱 Step 5: Buy MeowRP on a Decentralized Exchange (DEX)!
Now for the fun part! To swap XRP for MeowRP, use an XRPL Decentralized Exchange (DEX):

✅ Magnetic Exchange
✅ XPMarket
✅ First Ledger

💡 MewTip: Always verify MeowRP's official contract address (CA) before swapping!

📌 MeowRP CA (Contract Address):
rMPEuuvWf6MvCu77NpUF37GUkdbwr9Nhhk

🐱 Step 6: Set the MeowRP Trust Line (Must-Do!)
Before you can buy or receive MeowRP, your wallet must trust it!

📌 How to Set a Trust Line for MeowRP:
1️⃣ Open Xaman, Bifrost, or First Ledger Wallet.
2️⃣ Go to XPMarket, Magnetic, or First Ledger.
3️⃣ Search for MeowRP and verify the address:
rMPEuuvWf6MvCu77NpUF37GUkdbwr9Nhhk
4️⃣ Click Set Trust Line and confirm the transaction.
5️⃣ Done! Now you're ready to buy, hold, and trade MeowRP! 😺🔥

🐱 Final Checklist ✅
✅ Have XRP in your Decentralized Wallet
✅ Set the Trust Line for MeowRP
✅ Use a Verified DEX to Buy MeowRP
✅ Double-Check the Token Address → 📌 rMPEuuvWf6MvCu77NpUF37GUkdbwr9Nhhk

🐱 Join the MeowRP Community!
Stay updated with the latest news, events, and giveaways! 🚀🔥

🔹 Telegram: https://t.me/GrokMeowRP
🔹 MeowRP on X (Twitter): https://x.com/Meow_RP
🔹 Official Website: https://meowrp.com

🎉 Congrats! You're ready to become a MeowRP hodler! 🚀🐾",/buyMeowrpGuide,private
Buy $MeowRP 😸💰,MeowRP on XPMarket 📊🐾,submenu,"📊 MeowRP on XPMarket – Track live prices, explore token stats, and analyze market trends! The purrfect way to keep an eye on $MeowRP. 🐾✨ 🔗 https://xpmarket.com/token/MeowRP-rMPEuuvWf6MvCu77NpUF37GUkdbwr9Nhhk",/meowrp_xpmarket,private
Buy $MeowRP 😸💰,MeowRP on FirstLedger 🏦🐾,submenu,💡 First Ledger x MeowRP – Trade securely and access deep analytics on First Ledger! Pawsome tools for Meow hodlers. 🏦🐾 🔗 https://firstledger.net/token/rMPEuuvWf6MvCu77NpUF37GUkdbwr9Nhhk/4D656F7752500000000000000000000000000000,/meowrp_firstledger,private
Buy $MeowRP 😸💰,MeowRP on Magnetic 🧲🐾,submenu,🌟 Magnetic Exchange x MeowRP – Swap your $MeowRP effortlessly with ultra-low fees and lightning-fast transactions! 🚀😻 🔗 https://xmagnetic.org/tokens/MeowRP+rMPEuuvWf6MvCu77NpUF37GUkdbwr9Nhhk?network=mainnet,/meowrp_magnetic,private
Buy $MeowRP 😸💰,Buy MeowRP C14 💳🐾,submenu,"💳 C14.money – Buy $MeowRP Instantly!🚀 Mew’s favorite fiat-to-crypto on-ramp! Purrchase MeowRP using your credit/debit card, bank transfer, or local payment methods! 🏦🐾
🌍 Supported Payment Methods:
💰 Credit/Debit Cards – Fast & secure!
🏦 Bank Transfer (EU, UK, US ACH) – Smooth & easy!
⚡️ PIX & SPEI (Brazil & Mexico) – Instant & seamless!
🌎 Global Access: Buy $MeowRP from 50+ countries, including 🇺🇸 USA, 🇧🇷 Brazil, 🇪🇺 EU nations, 🇯🇵 Japan, 🇦🇺 Australia, 🇸🇬 Singapore, 🇰🇷 South Korea & more! 🌍😸
💎 Why C14?
✅ Lowest fees on the market
✅ Secure transactions – No stored card details!
✅ Fast & easy onboarding – No headaches, just MEOWS! 🐾😻 https://pay.c14.money/?clientId=171a766e-512c-42bd-aed6-0d932741a5d8",/buy_meowrp_c14,private
AntiRug Scan 👽🛡️ ,,main,"🐾 Meet @AntiSols_bot – Your XRPL Safety Net! 🚨
Meow! 😺 Before diving into any new token, make sure it isn't a rug pull waiting to happen! That's where @AntiSols_bot comes in! 🛡️✨
🔍 What does @AntiSols_bot do?
✅ Scans XRPL tokens for potential rug pulls, warning signs, and risk factors.
✅ Analyzes contract addresses (CA) to detect holder distribution, liquidity risks, and suspicious activity!
✅ Helps traders make safer decisions before aping into new projects! 🚀
💡 How to Use @AntiSols_bot?
1️⃣ Click 👉 @AntiSols_bot
2️⃣ Send the contract address (CA) of any XRPL token you want to check.
3️⃣ Get an instant risk analysis report – no more guessing, just facts! 🧐
🔥 Pro Tip: Always check a token's AntiSol report before buying or setting a trust line. Stay ahead of scams & trade with confidence! 🏆🐾
🚨 MewFi says: Smart traders use AntiSol – don't get rugged, get informed! 😺🔍",/antirug_scan,private
Merch Store 😺🛍️🛒,,main,"🐾 Mew says: The wait is over! Our exclusive MeowRP Merch Store is LIVE! 🎉 Rock your love for XRPL with pawsome designs, all available for global shipping and purchasable with XRP! 🌍💸 Get ready to burn in style and rep the MeowRP community like a true crypto cat! 😼🔥

🔗 Shop Now: https://www.burnwithmerch.com/product-category/meowrp-merch/",/merch,private
Terminology 📖,,main,"Your XRPL Dictionary! 🐾✨

New to crypto? Confused by all the jargon? Mew’s got you covered! 😺💡

Explore key blockchain & XRPL terms in a fun & simple way! From DeFi & AMM Pools to Smart Contracts & Rug Pulls, Mew helps you trade & explore with confidence! 🚀

🔹 Click below to learn more! 🎓🐾",/terminology,private
Terminology 📖,BlackHole Address 🕳️,submenu,🕳️ BlackHoling an account means permanently disabling its ability to send transactions. Any tokens in a blackholed wallet are gone forever—just like a burn! 🔥 This ensures no one can ever access or recover the funds. 🕳️😸,/term_blackhole,private
Terminology 📖,Token Burning 🔥,submenu,"🔥 Burning tokens means sending them to a blackholed address or an inaccessible wallet. This removes them from circulation permanently, reducing supply and potentially increasing scarcity. 🚀 ",/term_burn,private
Terminology 📖,AMM Pool 💧,submenu,⚡ Automated Market Maker (AMM) Pools allow users to provide liquidity and earn fees by letting others trade against their funds! A great way to boost early liquidity for new tokens! 🏦💧,/term_amm_pool,private
Terminology 📖,New Projects Essentials 🚀,submenu,"🚀 For new projects, burning tokens & using AMM pools can help establish trust & liquidity. 🔥 Burning team-held tokens shows commitment, while AMM pools ensure active trading & fair price discovery! 💰 ",/term_project_growth,private
Terminology 📖,DeFi 101 🏦💰,submenu,"🦾 DeFi is the future of finance—no banks, no middlemen, just you and the blockchain! It allows users to lend, borrow, trade, and earn interest on crypto assets without traditional finance.",/term_defi,private
Terminology 📖,Staking Rewards 💎,submenu,✅ Staking lets you lock up tokens to earn passive rewards! A way to support networks and earn extra crypto while holding your assets.,/term_staking,private
Terminology 📖,Yield Farming 🌾,submenu,"🌱 Yield farming lets users provide liquidity to DeFi pools and earn rewards in return! Higher risk, higher potential rewards!",/term_yield_farming,private
Terminology 📖,Lending/Borrowing 💸,submenu,🏦 Crypto lending lets users borrow against their holdings or lend assets to earn interest! DeFi makes finance borderless and permissionless!,/term_lending,private
Terminology 📖,Decentralized Exchange (DEXs) 💱,submenu,"💱 Decentralized Exchange (DEXs) Trade directly from your wallet with complete control over your assets! No sign-ups, no middlemen—just blockchain-powered trading!",/term_dex,private
Terminology 📖,Centralized exchanges (CEXs) 🏛️,submenu,"🏦 Centralized exchanges (CEXs) require sign-ups and hold your funds, offering more convenience but less control. Examples: Binance, Coinbase, Kraken.",/term_cex,private
Terminology 📖,Liquidity & Pools 💦,submenu,💧 Liquidity keeps DEXs running smoothly! Liquidity pools (LPs) let users deposit token pairs to enable trading and earn a share of the fees!,/term_liquidity,private
Terminology 📖,Slippage & Price Impact ⚠️,submenu,⚠️ Slippage happens when a trade executes at a different price than expected! Higher liquidity = lower slippage. Always check slippage settings before trading!,/term_slippage,private
Terminology 📖,Stablecoins 🏦💵,submenu,"🏦 Stablecoins are cryptocurrencies pegged to stable assets like USD or gold. They reduce volatility and are widely used in DeFi. Examples: USDT, USDC.",/term_stablecoins,private
Terminology 📖,Impermanent Loss 😿,submenu,"😿 A risk of liquidity farming! Happens when token prices change after you provide liquidity, reducing potential profits. Always DYOR before providing liquidity!",/term_impermanent_loss,private
Terminology 📖,Market Cap & FDV 📊,submenu,"📊 Market Cap = Price * Circulating Supply. FDV = Price * Total Supply. Helps gauge project value, but watch out for high FDV with low circulating supply!",/term_marketcap,private
Terminology 📖,Rug Pull Alert 🚨,submenu,🚨 A scam where developers drain liquidity or dump tokens after hyping a project! MewFi checks for rug pulls with /antirug_scan—stay safe!,/term_rugpull,private
Terminology 📖,Smart Contracts 🤖📜,submenu,"🤖 Self-executing blockchain programs that automate transactions without middlemen. Used in DEXs, DeFi, NFTs, airdrops, staking, and more!",/term_smartcontracts,private
XRPL Influencers 📢,,main,"Meow! 🐾 Want to stay ahead in the XRPL space? Follow these influential voices who provide market insights, project updates, and expert analysis! 📢🎯

These traders, developers, and analysts are shaping the future of XRPL— from breaking news to deep-dive research, follow them to stay informed and trade smarter! 🚀😺",/influencers,private
XRPL Influencers 📢,Wietse Wind 🌐,submenu,"🌐 Wietse Wind – Co-founder of XRPL Labs, a true pioneer of the XRPL ecosystem! Always pushing innovation, building tools, and keeping the ledger purring with new ideas. Follow him for top-tier XRPL insights! 🧪🐾 🔗 https://twitter.com/WietseWind",/xrpl_wietsewind,private
XRPL Influencers 📢,JoelKatz 🧠,submenu,"🏛 David Schwartz (JoelKatz) – Ripple’s legendary CTO & XRPL architect! The OG blockchain wizard, always dropping deep insights, tech knowledge, and big-picture visions for the future of XRPL. 🧠 🔗 https://twitter.com/JoelKatz ",/xrpl_joelkatz,private
XRPL Influencers 📢,MackAttackXRP 🎯,submenu,"📰 Mack Attack XRP – Need the latest XRP news & market analysis? Mack’s your go-to source! Daily updates, expert takes, and insights that keep you ahead of the XRPL game! 🚀 🔗 https://twitter.com/MackAttackXRP ",/xrpl_mackattack,private
XRPL Influencers 📢,XRP Crypto Wolf 🐺,submenu,"🐺 XRP Crypto Wolf – A market guru with razor-sharp instincts! He delivers real-time market updates, technical analysis, and breaking XRP news—so you never miss a moonshot. 📈 🔗 https://twitter.com/XRPcryptowolf",/xrpl_cryptowolf,private
XRPL Influencers 📢,XRP Community 📢,submenu,"🌍 XRP Community – The heartbeat of the XRPL ecosystem! Stay connected with news, discussions, and educational content from across the XRP space. This account amplifies everything important! 🔥 🔗 https://twitter.com/XRP_Community",/xrpl_community,private
XRPL Influencers 📢,Xoge 🏆,submenu,"🐕 Xoge – Meme lord? Yes. Market genius? Also yes. A key player in the XRP space, Xoge is known for in-depth market analysis & project insights. Plus, he co-hosts Trench-Warfare Nightly at 8pm PST/10C/11E—don’t miss it! 🎙️🐾 🔗 https://x.com/ClassyXoge",/xrpl_xoge,private
XRPL Influencers 📢,BunnyBoyTime 🐰,submenu,"🐰 BunnyBoyTime – If you love Elliott Wave Theory & technical analysis, this is your guy! He deciphers XRP & XRPL token trends like a pro, helping traders navigate the chaos. 📊 🔗 https://twitter.com/BunnyBoyTime",/xrpl_bunnyboy,private
XRPL Influencers 📢,FLOXON 🚀,submenu,"🏗 FLOXON – Deep dives, big brain takes, and fresh perspectives on XRP market trends. A must-follow if you want to stay ahead of the curve! 🔥 🔗 https://twitter.com/FLOXON_",/xrpl_floxon,private
XRPL Influencers 📢,Vet_X0 💡,submenu,"🔎 Vet_X0 – An XRPL enthusiast and First Ledger advocate, always sharing insights on meme coins, new projects, and XRPL adoption. Big on community building and making XRP fun! 🏆 🔗 https://twitter.com/Vet_X0",/xrpl_vetx,private
XRPL Influencers 📢,EchoDaTruth 📣,submenu,"🧠 EchoDaTruth – If you’re new to XRPL, Echo’s got your back! He shares educational content, project deep dives, and curated XRPL lists to help you navigate the space. 🚀 🔗 https://twitter.com/echodatruth",/xrpl_echodatruth,private
